# timestamp: 20251101_201633
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LS1
# light_col: 1
# light_channel: 3
# duration_s: 20.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095909,0.0,200,1,90.3905,102.0231,85.7805,85.9817,86.0123,87.7632,49.7874,40.9577,49.9954,50.0,49.987,49.9834,0
1,0.187661,0.091751,200,1,90.3927,102.0298,85.7824,85.9849,86.0155,87.7661,49.7822,40.9492,49.9951,50.0,49.9876,49.9831,0
2,0.283626,0.095965,200,1,90.4085,102.0295,85.7819,85.9815,86.0177,87.7725,49.7783,40.9613,49.9954,50.0,49.9863,49.9831,0
3,0.375645,0.092019,200,1,90.4177,102.03,85.784,85.9826,86.0209,87.773,49.7881,40.9561,49.9958,50.0,49.9867,49.9837,0
4,0.467675,0.09203,200,1,90.392,102.022,85.7822,85.9837,86.0132,87.7715,49.7871,40.9632,49.9951,50.0,49.988,49.9837,0
5,0.563629,0.095954,200,1,90.3939,102.0234,85.7815,85.9805,86.0141,87.7686,49.7835,40.9561,49.9948,50.0,49.987,49.9837,0
6,0.655659,0.09203,200,1,90.3964,102.019,85.7836,85.9844,86.0185,87.7707,49.792,40.9554,49.9948,50.0,49.9863,49.9837,0
7,0.747686,0.092027,200,1,90.422,102.0157,85.7818,85.9862,86.0206,87.7701,49.777,40.9577,49.9954,50.0,49.9867,49.9831,0
8,0.843655,0.09597,200,1,90.4152,102.0154,85.782,85.9816,86.0182,87.7703,49.779,40.9535,49.9954,50.0,49.9867,49.9837,0
9,0.93567,0.092015,200,1,90.3919,102.0223,85.7769,85.9809,86.0125,87.7687,49.7809,40.9561,49.9951,50.0,49.9863,49.9837,0
10,1.027708,0.092038,200,1,90.3912,102.0215,85.7806,85.9862,86.0121,87.7699,49.7848,40.9492,49.9954,50.0,49.9857,49.985,0
11,1.123672,0.095964,200,1,90.4085,102.0227,85.7856,85.9868,86.0153,87.7681,49.7878,40.9577,49.9951,50.0,49.987,49.9834,0
12,1.215698,0.092026,0,-1,90.417,102.0283,85.7824,85.9836,86.0228,87.777,49.7936,40.9466,49.9954,50.0,49.9857,49.9844,0
13,1.307749,0.092051,0,-1,89.852,101.8843,85.7168,85.9468,85.8903,87.7026,49.8317,40.9564,49.9951,50.0,49.9961,49.9831,0
14,1.403684,0.095935,0,-1,87.4376,101.1828,85.3516,85.7583,85.3099,87.3383,50.0,40.9658,49.9951,50.0,50.0,49.9837,0
15,1.495728,0.092044,200,1,87.4379,101.1902,85.3489,85.754,85.3101,87.3393,50.0,40.9714,49.9958,50.0,50.0,49.9844,0
16,1.591691,0.095963,200,1,87.4551,101.1933,85.3608,85.7576,85.325,87.3506,50.0,40.9668,49.9954,50.0,50.0,49.9847,0
17,1.683706,0.092016,200,1,90.4174,102.0455,85.7851,85.9879,86.0173,87.773,49.7806,40.9518,49.9951,50.0,49.985,49.9831,0
18,1.775744,0.092038,0,-1,90.3935,102.0437,85.7824,85.9876,86.0167,87.7712,49.7894,40.9567,49.9951,50.0,49.988,49.985,0
19,1.871705,0.095961,0,-1,89.7653,101.8649,85.7039,85.9404,85.8694,87.691,49.8402,40.9512,49.9951,50.0,49.9964,49.984,0
